LapNumber,Compound,TyreLife,LapTime_s,PitIn,PitOut,TrackStatus,Driver
45.0,HARD,45.0,80.144,0,0,1,TSU
46.0,HARD,46.0,80.294,0,0,1,TSU
47.0,HARD,47.0,80.426,0,0,1,TSU
48.0,HARD,48.0,80.543,0,0,1,TSU
49.0,HARD,49.0,80.109,0,0,1,TSU
50.0,HARD,50.0,79.553,0,0,1,TSU
51.0,HARD,51.0,78.64,0,0,1,TSU
52.0,HARD,52.0,80.114,0,0,12,TSU
53.0,HARD,53.0,79.854,0,0,1,TSU
54.0,HARD,54.0,85.77,0,0,1,TSU
55.0,HARD,55.0,79.781,0,0,1,TSU
56.0,HARD,56.0,78.502,0,0,1,TSU
57.0,HARD,57.0,78.499,0,0,1,TSU
58.0,HARD,58.0,78.737,0,0,1,TSU
59.0,HARD,59.0,78.035,0,0,1,TSU
60.0,HARD,60.0,79.659,0,0,1,TSU
61.0,HARD,61.0,80.298,0,0,1,TSU
62.0,HARD,62.0,79.375,0,0,1,TSU
63.0,HARD,63.0,83.218,0,0,1,TSU
64.0,HARD,64.0,77.631,0,0,1,TSU
65.0,HARD,65.0,77.019,0,0,1,TSU
66.0,HARD,66.0,78.197,0,0,1,TSU
67.0,HARD,67.0,78.148,0,0,1,TSU
68.0,HARD,68.0,78.209,0,0,1,TSU
69.0,HARD,69.0,80.032,0,0,1,TSU
70.0,HARD,70.0,79.347,0,0,1,TSU
71.0,HARD,71.0,78.258,0,0,1,TSU
72.0,HARD,72.0,77.079,0,0,1,TSU
73.0,HARD,73.0,75.955,0,0,1,TSU
74.0,HARD,74.0,75.462,0,0,1,TSU
75.0,HARD,75.0,74.992,0,0,1,TSU
76.0,HARD,76.0,75.205,0,0,1,TSU
77.0,HARD,77.0,74.72,0,0,1,TSU
1.0,MEDIUM,1.0,2494.817,1,0,1254,ALB
2.0,HARD,1.0,142.255,0,1,41,ALB
3.0,HARD,2.0,87.834,0,0,1,ALB
4.0,HARD,3.0,83.286,0,0,1,ALB
5.0,HARD,4.0,83.369,0,0,1,ALB
6.0,HARD,5.0,83.416,0,0,1,ALB
7.0,HARD,6.0,81.913,0,0,1,ALB
8.0,HARD,7.0,81.536,0,0,1,ALB
9.0,HARD,8.0,82.004,0,0,1,ALB
10.0,HARD,9.0,81.562,0,0,1,ALB
11.0,HARD,10.0,81.514,0,0,1,ALB
12.0,HARD,11.0,80.821,0,0,1,ALB
13.0,HARD,12.0,81.42,0,0,1,ALB
14.0,HARD,13.0,80.591,0,0,1,ALB
15.0,HARD,14.0,80.591,0,0,1,ALB
16.0,HARD,15.0,80.793,0,0,1,ALB
17.0,HARD,16.0,81.137,0,0,1,ALB
18.0,HARD,17.0,80.042,0,0,1,ALB
19.0,HARD,18.0,80.245,0,0,1,ALB
20.0,HARD,19.0,80.36,0,0,1,ALB
21.0,HARD,20.0,80.937,0,0,1,ALB
22.0,HARD,21.0,80.542,0,0,1,ALB
23.0,HARD,22.0,80.143,0,0,1,ALB
24.0,HARD,23.0,80.517,0,0,1,ALB
25.0,HARD,24.0,80.323,0,0,1,ALB
26.0,HARD,25.0,80.463,0,0,1,ALB
27.0,HARD,26.0,80.509,0,0,1,ALB
28.0,HARD,27.0,79.51,0,0,1,ALB
29.0,HARD,28.0,80.271,0,0,1,ALB
30.0,HARD,29.0,81.439,0,0,1,ALB
31.0,HARD,30.0,80.941,0,0,1,ALB
32.0,HARD,31.0,80.148,0,0,1,ALB
33.0,HARD,32.0,79.491,0,0,1,ALB
34.0,HARD,33.0,79.134,0,0,1,ALB
35.0,HARD,34.0,78.816,0,0,1,ALB
36.0,HARD,35.0,81.628,0,0,1,ALB
37.0,HARD,36.0,80.775,0,0,1,ALB
38.0,HARD,37.0,80.314,0,0,1,ALB
39.0,HARD,38.0,80.389,0,0,1,ALB
40.0,HARD,39.0,79.812,0,0,1,ALB
41.0,HARD,40.0,79.329,0,0,1,ALB
42.0,HARD,41.0,80.084,0,0,1,ALB
43.0,HARD,42.0,79.496,0,0,1,ALB
44.0,HARD,43.0,79.683,0,0,1,ALB
45.0,HARD,44.0,81.748,0,0,1,ALB
46.0,HARD,45.0,80.594,0,0,1,ALB
47.0,HARD,46.0,80.462,0,0,1,ALB
48.0,HARD,47.0,79.321,0,0,1,ALB
49.0,HARD,48.0,79.378,0,0,1,ALB
50.0,HARD,49.0,79.268,0,0,1,ALB
51.0,HARD,50.0,78.863,0,0,1,ALB
52.0,HARD,51.0,81.554,0,0,12,ALB
53.0,HARD,52.0,80.7,0,0,1,ALB
54.0,HARD,53.0,83.647,0,0,1,ALB
55.0,HARD,54.0,79.085,0,0,1,ALB
56.0,HARD,55.0,78.796,0,0,1,ALB
57.0,HARD,56.0,78.271,0,0,1,ALB
58.0,HARD,57.0,78.69,0,0,1,ALB
59.0,HARD,58.0,78.201,0,0,1,ALB
60.0,HARD,59.0,79.533,0,0,1,ALB
61.0,HARD,60.0,80.222,0,0,1,ALB
62.0,HARD,61.0,79.506,0,0,1,ALB
63.0,HARD,62.0,83.085,0,0,1,ALB
64.0,HARD,63.0,77.911,0,0,1,ALB
65.0,HARD,64.0,77.261,0,0,1,ALB
66.0,HARD,65.0,78.003,0,0,1,ALB
67.0,HARD,66.0,77.874,0,0,1,ALB
68.0,HARD,67.0,78.385,0,0,1,ALB
69.0,HARD,68.0,79.921,0,0,1,ALB
70.0,HARD,69.0,79.37,0,0,1,ALB
71.0,HARD,70.0,78.957,0,0,1,ALB
72.0,HARD,71.0,78.165,0,0,1,ALB
73.0,HARD,72.0,78.432,0,0,1,ALB
74.0,HARD,73.0,78.014,0,0,1,ALB
75.0,HARD,74.0,77.85,0,0,1,ALB
76.0,HARD,75.0,77.279,0,0,1,ALB
77.0,HARD,76.0,77.06,0,0,1,ALB
1.0,HARD,1.0,2497.695,1,0,1254,GAS
2.0,MEDIUM,1.0,139.618,0,1,41,GAS
3.0,MEDIUM,2.0,88.269,0,0,1,GAS
4.0,MEDIUM,3.0,83.269,0,0,1,GAS
5.0,MEDIUM,4.0,83.428,0,0,1,GAS
6.0,MEDIUM,5.0,83.106,0,0,1,GAS
7.0,MEDIUM,6.0,82.233,0,0,1,GAS
8.0,MEDIUM,7.0,81.6,0,0,1,GAS
9.0,MEDIUM,8.0,82.071,0,0,1,GAS
10.0,MEDIUM,9.0,81.394,0,0,1,GAS
11.0,MEDIUM,10.0,81.298,0,0,1,GAS
12.0,MEDIUM,11.0,81.289,0,0,1,GAS
13.0,MEDIUM,12.0,81.53,0,0,1,GAS
14.0,MEDIUM,13.0,79.92,0,0,1,GAS
15.0,MEDIUM,14.0,81.066,0,0,1,GAS
16.0,MEDIUM,15.0,81.054,0,0,1,GAS
17.0,MEDIUM,16.0,81.961,0,0,1,GAS
18.0,MEDIUM,17.0,80.797,0,0,1,GAS
19.0,MEDIUM,18.0,79.904,0,0,1,GAS
20.0,MEDIUM,19.0,80.255,0,0,1,GAS
21.0,MEDIUM,20.0,79.876,0,0,1,GAS
22.0,MEDIUM,21.0,80.554,0,0,1,GAS
23.0,MEDIUM,22.0,81.306,0,0,1,GAS
24.0,MEDIUM,23.0,80.949,0,0,1,GAS
25.0,MEDIUM,24.0,80.372,0,0,1,GAS
26.0,MEDIUM,25.0,80.593,0,0,1,GAS
27.0,MEDIUM,26.0,80.521,0,0,1,GAS
28.0,MEDIUM,27.0,80.229,0,0,1,GAS
29.0,MEDIUM,28.0,79.376,0,0,1,GAS
30.0,MEDIUM,29.0,81.764,0,0,1,GAS
31.0,MEDIUM,30.0,81.427,0,0,1,GAS
32.0,MEDIUM,31.0,81.121,0,0,1,GAS
33.0,MEDIUM,32.0,80.965,0,0,1,GAS
34.0,MEDIUM,33.0,80.751,0,0,1,GAS
35.0,MEDIUM,34.0,79.361,0,0,1,GAS
36.0,MEDIUM,35.0,79.576,0,0,1,GAS
37.0,MEDIUM,36.0,79.975,0,0,1,GAS
38.0,MEDIUM,37.0,79.428,0,0,1,GAS
39.0,MEDIUM,38.0,80.32,0,0,1,GAS
40.0,MEDIUM,39.0,80.384,0,0,1,GAS
41.0,MEDIUM,40.0,80.2,0,0,1,GAS
42.0,MEDIUM,41.0,79.977,0,0,1,GAS
43.0,MEDIUM,42.0,81.048,0,0,1,GAS
44.0,MEDIUM,43.0,80.621,0,0,1,GAS
45.0,MEDIUM,44.0,79.382,0,0,1,GAS
46.0,MEDIUM,45.0,79.97,0,0,1,GAS
47.0,MEDIUM,46.0,79.435,0,0,1,GAS
48.0,MEDIUM,47.0,79.865,0,0,1,GAS
49.0,MEDIUM,48.0,80.534,0,0,1,GAS
50.0,MEDIUM,49.0,81.023,0,0,1,GAS
51.0,MEDIUM,50.0,84.473,0,0,1,GAS
52.0,MEDIUM,51.0,79.743,0,0,12,GAS
53.0,MEDIUM,52.0,79.917,0,0,1,GAS
54.0,MEDIUM,53.0,79.091,0,0,1,GAS
55.0,MEDIUM,54.0,79.407,0,0,1,GAS
56.0,MEDIUM,55.0,79.704,0,0,1,GAS
57.0,MEDIUM,56.0,79.448,0,0,1,GAS
58.0,MEDIUM,57.0,79.097,0,0,1,GAS
59.0,MEDIUM,58.0,81.378,0,0,1,GAS
60.0,MEDIUM,59.0,80.237,0,0,1,GAS
61.0,MEDIUM,60.0,80.407,0,0,1,GAS
62.0,MEDIUM,61.0,78.469,0,0,1,GAS
63.0,MEDIUM,62.0,79.155,0,0,1,GAS
64.0,MEDIUM,63.0,78.868,0,0,1,GAS
65.0,MEDIUM,64.0,79.22,0,0,1,GAS
66.0,MEDIUM,65.0,78.726,0,0,1,GAS
67.0,MEDIUM,66.0,78.624,0,0,1,GAS
68.0,MEDIUM,67.0,78.545,0,0,1,GAS
69.0,MEDIUM,68.0,78.363,0,0,1,GAS
70.0,MEDIUM,69.0,77.799,0,0,1,GAS
71.0,MEDIUM,70.0,78.14,0,0,1,GAS
72.0,MEDIUM,71.0,78.382,0,0,1,GAS
73.0,MEDIUM,72.0,77.992,0,0,1,GAS
74.0,MEDIUM,73.0,76.689,0,0,1,GAS
75.0,MEDIUM,74.0,78.12,0,0,1,GAS
76.0,MEDIUM,75.0,77.516,0,0,1,GAS
77.0,MEDIUM,76.0,75.625,0,0,1,GAS
